usuario,valoracion,titulo,fecha,contenido,verificado,votos_utiles
Yainier Salazar Benitez,rating,,Calificado en Estados Unidos el 5 de abril de 2025,"This SanDisk Extreme PRO SDXC card is a solid choice for anyone needing dependable storage. It handles 4K UHD video and burst photography with ease, thanks to its fast read and write speeds. The card is also built to last, being resistant to water, shocks, and extreme temperatures. Its 64GB capacity is perfect for storing high-quality photos and videos without running out of space. Whether you're a professional or just love capturing moments, this memory card delivers excellent performance at a reasonable price. Definitely worth considering!",True,1
Em S,rating,,Calificado en Estados Unidos el 5 de abril de 2025,"I’ve been using this SanDisk 128GB memory card for a while now, and I’m really impressed with its performance. As a part-time photographer, it’s been perfect for all my photo needs. It handles high-res images and large files without any issues, and I’ve had no problems with it during shoots. The card has been reliable and works seamlessly with my camera and laptop.

The transfer speeds are solid, and it’s been great for storing and transferring my 4K recordings as well. I did notice that when transferring larger files, it feels a little slower compared to other cards I’ve used, but it’s still very good overall. For anyone looking for a dependable card for both photos and high-definition videos, this one’s a solid choice at a great price.",True,1
Courtlyn,rating,,Calificado en Estados Unidos el 6 de mayo de 2025,Used this for my cannon G7X mark iii and it works great! Large capacity and amazing quality! Easy to transfer and use!,True,0
Jason JB Banks,rating,,Calificado en Estados Unidos el 27 de febrero de 2025,"I picked up the SanDisk 1TB Extreme PRO SDXC for my Maschine Plus, and I couldn’t be happier with the purchase. Right out of the box, it was ready to go—pre-formatted and up and running in seconds. No hassle, no setup stress—just plug and play.

The speed is flawless, with no lag or stuttering, even under heavy workloads. I’ve experienced zero data loss, and the performance has been rock-solid no matter how much I throw at it. The 1TB capacity is more than enough for large sample libraries, beats, and projects, making it a game-changer for serious music production.

When it comes to value, the price is absolutely justified—you’re paying for top-tier speed, reliability, and storage capacity. I’ve trusted SanDisk for years, and they’ve never let me down. Well, except for that one time I lost one—but that’s on me!

Final Verdict:
This SD card is a must-have, not just for Maschine users, but for anyone needing a high-speed, high-capacity storage solution. If you need fast, dependable storage, this is it. Highly recommended!
Leer más",True,1
John Becerra,rating,,Calificado en Estados Unidos el 5 de abril de 2025,Great card! It’s been the only card I’ve been shooting on for a few months now. After backing up my shots I format it and I haven’t had any issues since owning it. Decent price too.,True,1
Sunny R,rating,,Calificado en Estados Unidos el 21 de marzo de 2025,"The SanDisk 64GB Extreme PRO SDXC UHS-I is a solid choice for users looking for dependable storage with fast read and write speeds. It offers read speeds up to 170MB/s and write speeds up to 90MB/s, which is more than sufficient for most photography and Full HD/4K video recording needs.

The build quality feels sturdy, and the card is marketed as temperature-proof, waterproof, shockproof, and X-ray-proof — making it suitable for various shooting environments. Compatibility is broad, working seamlessly with DSLRs, mirrorless cameras, and even some video cameras.

While it performs well in most scenarios, professional users working with high-bitrate 4K or RAW video might find UHS-II cards more suitable due to their higher sustained write speeds. However, for the price point and performance, this card offers excellent value.",True,1
joe,rating,,Calificado en Estados Unidos el 29 de abril de 2025,"Sandisk delivered as always, Good storage and speed for the price and a durable card. Good for taking many 4K raw photos at once and not slowing down or showing busy on the camera. Works as advertised",True,0
daysha howell,rating,,Calificado en Estados Unidos el 24 de abril de 2025,"This SanDisk 128GB Extreme PRO SDXC card is a powerhouse! Blazing-fast speeds (U3, V30) handle 4K UHD smoothly, while reliability never falters. Perfect for photographers and videographers. Highly recommended for professionals and enthusiasts alike. Worth every penny!",True,0
Océane,rating,Excellent SD Card for Photography!,Calificado en Australia el 1 de abril de 2025,"I recently purchased this SD card for my camera, and I couldn’t be happier! The storage capacity is perfect for my needs, allowing me to take hundreds of high-resolution photos without worrying about space. The read and write speeds are excellent, making file transfers quick and efficient.

I’ve used it for both photography and video recording, and it has performed flawlessly with no lag or corruption issues. It’s also very reliable I’ve taken it on outdoor shoots in different weather conditions, and it works perfectly every time.

If you’re looking for a fast and dependable SD card, I highly recommend this one!",True,0
Mathieu,rating,"Rapide, fiable et abordable",Calificado en Francia el 25 de febrero de 2025,"Achetée pour mon Canon EOS R50, cette SanDisk Extreme PRO 64 Go fait parfaitement le job. Les vitesses de lecture annoncées à 200 Mo/s sont bien là, ce qui permet un transfert rapide des fichiers sur l’ordinateur. En écriture, la classe V30 et UHS-I U3 garantissent une bonne fluidité, aucun ralentissement en rafale ou en vidéo 4K.

SanDisk reste une valeur sûre, je n’ai jamais été déçu par cette marque. La carte est fiable et performante, idéale pour stocker des photos en RAW et des vidéos haute résolution sans souci.

Un excellent choix pour les photographes et vidéastes qui cherchent une carte rapide, efficace et abordable.",True,0
Ricky,rating,SD Card,Calificado en Singapur el 3 de febrero de 2023,"I've never had problems with SanDisk SD cards, my only concern is their authenticity. I feel buying from Amazon is a better option.",True,0
Arghya dalal,rating,Real product,Calificado en India el 6 de abril de 2025,Real product,True,0
Chris,rating,SanDisk Extreme PRO SDXC – Die perfekte Speicherkarte für Profis und ambitionierte Nutzer,Calificado en Alemania el 5 de marzo de 2025,"Als passionierter Fotograf/Videograf bin ich immer auf der Suche nach zuverlässigen Speichermedien, die meinen hohen Anforderungen gerecht werden. Die SanDisk Extreme PRO SDXC Speicherkarte hat mich auf ganzer Linie überzeugt. Mit ihrer beeindruckenden Geschwindigkeit, hohen Speicherkapazität und herausragenden Zuverlässigkeit gehört sie für mich zu den besten SD-Karten auf dem Markt.

Verpackung & Verarbeitung
Die Karte kommt in der gewohnten SanDisk-Verpackung, die einen sicheren Transport gewährleistet. Nach dem Auspacken macht die SD-Karte sofort einen hochwertigen Eindruck. Sie fühlt sich robust an und hat eine solide Bauweise. Zudem ist sie stoßfest, temperaturbeständig, wasserdicht und röntgensicher, was sie ideal für Outdoor-Einsätze macht.

Geschwindigkeit & Performance
Ein entscheidender Faktor bei SD-Karten ist die Schreib- und Lesegeschwindigkeit – und hier spielt die SanDisk Extreme PRO in der obersten Liga:

✅ Lesegeschwindigkeit: Bis zu 200 MB/s – perfekt für schnelles Übertragen großer Dateien auf den PC.
✅ Schreibgeschwindigkeit: Bis zu 140 MB/s – ideal für Serienbildaufnahmen und hochauflösende Videoaufnahmen.
✅ UHS-I, U3, V30, Class 10 – bestens geeignet für 4K-Videos und schnelle Serienbilder in RAW-Qualität.

Ich habe die Karte in verschiedenen Geräten getestet (DSLR, spiegellose Kamera, Camcorder, Drohne) und konnte keine Verzögerungen oder Ruckler feststellen. Selbst bei langen 4K-Videoaufnahmen blieb die Performance stabil, ohne dass die Kamera zwischenspeichern musste.

Kapazität & Anwendung
Die SD-Karte ist in verschiedenen Speichergrößen erhältlich (64GB, 128GB, 256GB, 512GB, 1TB). Ich habe mich für die 256GB-Version entschieden, da sie mir genügend Platz für tausende hochauflösende Bilder und lange Videosequenzen bietet.

Ein paar Beispiele, wie viel die Karte fasst:
📸 Fotos (RAW + JPEG): ca. 10.000 Bilder (bei einer durchschnittlichen RAW-Dateigröße von 25 MB).
🎥 Videos (4K, 100Mbps): ca. 5-6 Stunden Aufnahmezeit.
📂 Backups/Dokumente: Ideal für schnelle Datensicherungen unterwegs.

Besonders für Reisende, Content Creator oder Fotografen, die längere Sessions haben, ist diese Karte ein Gamechanger.

Zuverlässigkeit & Sicherheit
Nichts ist ärgerlicher als eine beschädigte oder defekte SD-Karte. Ich nutze die SanDisk Extreme PRO nun seit mehreren Monaten intensiv und hatte keinerlei Datenverluste oder Probleme.

✔️ Rugged-Design: Die Karte hält extreme Bedingungen aus – perfekt für Outdoor-Fotografen.
✔️ SanDisk RescuePRO Deluxe: Falls doch mal Daten verloren gehen, gibt es eine Wiederherstellungssoftware.
✔️ Lange Haltbarkeit: Kein Leistungsverlust auch nach wiederholtem Beschreiben und Formatieren.

Vergleich mit anderen Modellen
Ich habe in der Vergangenheit viele verschiedene SD-Karten genutzt, darunter Modelle von Lexar, Samsung und Kingston. Die SanDisk Extreme PRO übertrifft sie in puncto Geschwindigkeit, Haltbarkeit und Zuverlässigkeit. Besonders im Vergleich zur SanDisk Extreme (ohne PRO) merkt man den deutlichen Performance-Unterschied bei Serienbildaufnahmen und großen Video-Dateien.

Fazit – Mein Urteil
💯 Wer eine hochwertige, schnelle und zuverlässige SD-Karte für professionelle Foto- und Videoaufnahmen sucht, kommt an der SanDisk Extreme PRO SDXC nicht vorbei. Die Karte ist zwar etwas teurer als andere Modelle, aber ihr hoher Schreib-/Lesewert, die Stabilität und die Langlebigkeit machen den Preis mehr als gerechtfertigt.

📌 Pro:
✅ Sehr schnelle Lese-/Schreibgeschwindigkeit (perfekt für 4K-Videos & Serienbilder)
✅ Robuste Bauweise (wasserfest, temperaturbeständig, stoßfest)
✅ Ideal für Profis & Content Creator
✅ Große Speicherkapazität verfügbar (bis zu 1TB)
✅ SanDisk RescuePRO Deluxe Software inklusive

⚠️ Kontra:
❌ Etwas teurer als Standard-SD-Karten
❌ Maximale Schreibgeschwindigkeit nur mit UHS-I-kompatiblen Geräten nutzbar

💡 Empfehlung: Perfekt für Fotografen, Filmemacher, Drohnenpiloten und alle, die eine extrem zuverlässige SD-Karte brauchen. Klare Kaufempfehlung!

⭐ Gesamtbewertung: 5/5 Sterne! ⭐
Leer más",True,0
